Batches,Inoculation_Method,Thickness,Week,Response
1,Dry,1/4-inch,1,4.3018011192
1,Dry,1/4-inch,2,4.27300711
1,Dry,1/4-inch,3,4.2001683635
1,Dry,1/4-inch,4,4.4422443103
1,Dry,1/4-inch,5,4.7370771991
1,Dry,1/8-inch,1,4.8082170121
1,Dry,1/8-inch,2,4.6964472978
1,Dry,1/8-inch,3,4.7582795184
1,Dry,1/8-inch,4,4.4910537602
1,Dry,1/8-inch,5,4.6278516102
1,Wet,1/4-inch,1,4.2562326122
1,Wet,1/4-inch,2,4.4784718791
1,Wet,1/4-inch,3,4.7975463648
1,Wet,1/4-inch,4,4.6633727243
1,Wet,1/4-inch,5,4.2495420743
1,Wet,1/8-inch,1,4.4728075919
1,Wet,1/8-inch,2,4.9693435307
1,Wet,1/8-inch,3,4.6436688641
1,Wet,1/8-inch,4,4.3613778902
1,Wet,1/8-inch,5,4.0849491956
2,Dry,1/4-inch,1,3.917343026
2,Dry,1/4-inch,2,3.896078991
2,Dry,1/4-inch,3,3.7165265502
2,Dry,1/4-inch,4,4.091958506
2,Dry,1/4-inch,5,4.372735596
2,Dry,1/8-inch,1,4.513839174
2,Dry,1/8-inch,2,4.4864960975
2,Dry,1/8-inch,3,4.2022787706
2,Dry,1/8-inch,4,4.0838884053
2,Dry,1/8-inch,5,4.8281941483
2,Wet,1/4-inch,1,3.8465444099
2,Wet,1/4-inch,2,4.1353287611
2,Wet,1/4-inch,3,4.3222623963
2,Wet,1/4-inch,4,3.6361628875
2,Wet,1/4-inch,5,4.0278246742
2,Wet,1/8-inch,1,4.7044642406
2,Wet,1/8-inch,2,4.266908691
2,Wet,1/8-inch,3,4.1521407442
2,Wet,1/8-inch,4,3.6076069347
2,Wet,1/8-inch,5,3.678538598
3,Dry,1/4-inch,1,4.140311831
3,Dry,1/4-inch,2,4.2108769379
3,Dry,1/4-inch,3,4.2661416001
3,Dry,1/4-inch,4,4.6561442545
3,Dry,1/4-inch,5,4.7236286687
3,Dry,1/8-inch,1,4.9819880985
3,Dry,1/8-inch,2,5.0079311019
3,Dry,1/8-inch,3,4.6047276993
3,Dry,1/8-inch,4,4.5416790108
3,Dry,1/8-inch,5,4.8849902953
3,Wet,1/4-inch,1,4.5952777258
3,Wet,1/4-inch,2,4.6415910122
3,Wet,1/4-inch,3,4.4928224575
3,Wet,1/4-inch,4,4.501252298
3,Wet,1/4-inch,5,4.3955481098
3,Wet,1/8-inch,1,4.9549973121
3,Wet,1/8-inch,2,4.7616656871
3,Wet,1/8-inch,3,4.6316140505
3,Wet,1/8-inch,4,4.3993026537
3,Wet,1/8-inch,5,4.2344280668
4,Dry,1/4-inch,1,4.415224599
4,Dry,1/4-inch,2,4.0436161027
4,Dry,1/4-inch,3,4.5279690756
4,Dry,1/4-inch,4,3.980750565
4,Dry,1/4-inch,5,4.8251060722
4,Dry,1/8-inch,1,4.8575132993
4,Dry,1/8-inch,2,5.0656356226
4,Dry,1/8-inch,3,4.7946305064
4,Dry,1/8-inch,4,4.6092155326
4,Dry,1/8-inch,5,5.1197600135
4,Wet,1/4-inch,1,4.468956254
4,Wet,1/4-inch,2,4.6187969518
4,Wet,1/4-inch,3,4.4830448705
4,Wet,1/4-inch,4,4.3491568468
4,Wet,1/4-inch,5,4.5689151814
4,Wet,1/8-inch,1,4.7560512128
4,Wet,1/8-inch,2,5.1070761035
4,Wet,1/8-inch,3,4.555943555
4,Wet,1/8-inch,4,4.2198447491
4,Wet,1/8-inch,5,4.4479239413
5,Dry,1/4-inch,1,4.2214280064
5,Dry,1/4-inch,2,4.2627019549
5,Dry,1/4-inch,3,4.2222821021
5,Dry,1/4-inch,4,4.360545632
5,Dry,1/4-inch,5,4.5668384881
5,Dry,1/8-inch,1,4.8443991967
5,Dry,1/8-inch,2,4.7468045518
5,Dry,1/8-inch,3,4.6187664461
5,Dry,1/8-inch,4,4.3976971305
5,Dry,1/8-inch,5,4.9210630182
5,Wet,1/4-inch,1,4.0322502175
5,Wet,1/4-inch,2,4.7398050213
5,Wet,1/4-inch,3,4.5721137733
5,Wet,1/4-inch,4,4.6332082449
5,Wet,1/4-inch,5,4.2533269243
5,Wet,1/8-inch,1,4.5970341678
5,Wet,1/8-inch,2,4.9402992944
5,Wet,1/8-inch,3,4.6658584093
5,Wet,1/8-inch,4,4.5262855925
5,Wet,1/8-inch,5,4.3068415516
